,business_id,name,price,status_1,status_2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,status
222,3rKK__aVIsmetdDy8Fq0qQ,Easy Luck Coffee & Bodega,,,,,,,,,,,,,1.0
223,n4LQhRnQUHMnUvMvw6sWmw,Cayo Azul Latin & Sea food,,1.0,,,,,,,,,,,1.0
224,AbJi7BH8E7l2jEolepo8JQ,Pepe by JosÃ© AndrÃ©s,,,,,,,,,,,,,1.0
225,gASGXnljJpii3BV1VWgM-Q,HB Asian express,,,,,,,,,,,,,1.0
226,Wwyyyn4BVyWDBuaHCEZVOA,Palms Pool Bar,,1.0,,,,,,,,,,,1.0
227,4A4HT9miWTyxu1zQrTopMA,Toscana Pool Bar and Grill,,1.0,,,,,,,,,,,1.0
228,NbkIZQhAG8PVzw9Z3DKHjw,Korean Gogi Grill,3.0,,,,,,,,,,,,1.0
229,EK7EjlJjUtMpcRNu7XYWOg,El Cilantrillo Restaurant,2.0,1.0,,,,,,,,,,,1.0
232,CeivKoCxBQ1dqDfqeQzhVA,Mason Jar Provisions,,,,,,,,,,,,,1.0
233,_qoqk-QZaw0kNk6YtB7wcQ,Papa Gioâ€™s of Avalon Park,,,,,,,,,,,,,1.0
234,EvNADwy8xTYWfAvrII9O0g,Giovannis Italian Restaurant & Pizzeria,1.0,,,,,,,,,,,,1.0
235,Odh6Kt2gqi2uIhlKDZmdQg,Tropical Smoothie Cafe,,,,,,,,,,,,,1.0
237,VCcUmbidcHgO2g2C_VSdUw,Kid and Crumble,1.0,,,,,,,,,,,,1.0
239,AFoZy5w7Eusb5B8oqQlROg,Chick-fil-A,1.0,,,,,,,,,,,,6.0
240,6_jvE8j0HXo-qbeStgm6lQ,Cheddar's Scratch Kitchen,2.0,6.0,,,,,,,,,,,6.0
241,ZVu5B89EnBLvdk18wKydjg,BurgerFi,1.0,6.0,BurgerFi,,,,,,,,,,1.0
242,ckFwNJpKvajoFsC6PLq8yA,Slice Of Italian,1.0,,,,,,,,,,,,1.0
243,JacZmEW1d_FZmKVcGtR69w,Authentic Gyros & Grill,1.0,,,,,,,,,,,,1.0
245,R8SGIA0CyX1bFG1ldNvwbw,Olde Dixie Fried Chicken,1.0,,,,,,,,,,,,6.0
246,OmBwzODx1czbFeGhnEfu7w,Magic Grill,,1.0,,,,,,,,,,,1.0
247,szgqbezVh4NdtVnW8_y16w,"MOOYAH Burgers, Fries & Shakes",1.0,,,,,,,,,,,,1.0
248,BXqTWlKvSJldxiFwd_RoTg,Pho 54,,1.0,,,,,,,,,,,1.0
249,OikNUlqBgiBAZY-TgOUouQ,Fonda El Criollito,,,,,,,,,,,,,1.0
250,8e7xHp5f4oYfJhrKR7H2qQ,"MOOYAH Burgers, Fries & Shakes",,,,,,,,,,,,,1.0
251,aAwxablL0VKSU3E2TiU1EA,El Genio del Shawarma,1.0,,,,,,,,,,,,1.0
252,iOvWNACzdsEHe0_etPr9Ig,Panda Express,,,,,,,,,,,,,1.0
253,tm_87EH42amE7BuAIN5HOg,Cafe Latino,,1.0,,,,,,,,,,,1.0
254,61yT-3msjYqTwD_chUXF5g,Currito,,6.0,,,,,,,,,,,1.0
255,0NMsTdG1GAM-m_leCkVFow,Authentic Empanadas,1.0,,,,,,,,,,,,1.0
256,rDJFW54loSTmHTWIzW0ctQ,Bento Asian Kitchen + Sushi,,6.0,,,,,,,,,,,1.0
257,UXTsNZzGa08oXqAFuZ60Ew,Da Sun Ramen,,1.0,,,,,,,,,,,1.0
258,6oMPT9kvEPRiZcfDVX6kAg,The Salty Donut,2.0,,,,,,,,,,,,1.0
259,8lQbNdwVoj5q4Zh5wvOGNQ,Knife & Spoon,,,,,,,,,,,,,1.0
260,Ps-6_E3JDyrYWltyA3f1SQ,ATL DELI,1.0,,,,,,,,,,,,5.0
261,UYOqwnyMsWEH1bOqERpwXQ,Waffle House,1.0,,,,,,,,,,,,6.0
262,VasPlQG87SaS1OL6JmCuQw,Take A sushi,,,,,,,,,,,,,1.0
263,4R-uxUHU1j_sP3wue6pdhw,Eola General,1.0,,,,,,,,,,,,1.0
264,ey6ZMsIYze2cl6dv9kFqqw,Splendido,,1.0,,,,,,,,,,,1.0
265,yYy2N0iSeN7zkqfYWSPRLA,Jersey Mike's Subs,1.0,,,,,,,,,,,,6.0
266,trzvelqYZOPmSbM3gHwJnw,California Grill Lounge,,,,,,,,,,,,,1.0
267,w5CwZq-5nPrhLLctFGLzkA,Falls Pool Bar & Grill,,1.0,,,,,,,,,,,1.0
268,1QCaR3XWoE7ejpy7M3D3kQ,Chipotle,1.0,,,,,,,,,,,,6.0
269,9nvDCaNHXGjDeW8N4qgXgg,Lil Italy Pizza,,1.0,,,,,,,,,,,1.0
270,cDl3qwmdFftFsvDAKZo4iw,Crazy Buffet,2.0,,,,,,,,,,,,6.0
