,Name,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
15,City of Orlando/GOAA,28.537570000000073,-81.39774999999997,0,Fried Chicken Joint,Food Truck,Convenience Store,Ice Cream Shop,Playground,Brewery,Optical Shop,Pawn Shop,Park,Paper / Office Supplies Store
16,Clear Lake,28.52905000000004,-81.41218999999995,0,Lake,Grocery Store,ATM,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Pet Store
17,College Park,28.571090000000027,-81.39372999999995,1,Italian Restaurant,Café,Sandwich Place,Intersection,Tex-Mex Restaurant,BBQ Joint,Seafood Restaurant,Thrift / Vintage Store,Bubble Tea Shop,Burger Joint
18,Colonial Town Center,28.557960000000037,-81.34398999999996,1,Gym,Comic Shop,Lingerie Store,Bakery,Steakhouse,Snack Place,Big Box Store,Cosmetics Shop,Department Store,Video Game Store
19,Colonialtown North,28.55905000000007,-81.35924999999997,1,Gym Pool,Coffee Shop,Playground,Memorial Site,Park,Dive Bar,Gym / Fitness Center,Office,Optical Shop,Outdoor Sculpture
20,Colonialtown South,28.549500000000023,-81.35764999999998,1,Asian Restaurant,Sushi Restaurant,Vietnamese Restaurant,Discount Store,Bridal Shop,Bubble Tea Shop,Paper / Office Supplies Store,Business Service,Spa,Pet Store
21,Conway,28.517370000000028,-81.33510999999999,1,Massage Studio,ATM,Moving Target,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office,Optical Shop
22,Countryside,28.555820029487748,-81.40924580768983,0,Cosmetics Shop,Hotel Bar,Restaurant,Pawn Shop,Mediterranean Restaurant,Financial or Legal Service,Clothing Store,Latin American Restaurant,Szechuan Restaurant,Wings Joint
23,Coytown,28.555630000000065,-81.35000999999994,1,Restaurant,Deli / Bodega,Pizza Place,Coffee Shop,Vietnamese Restaurant,Gym,Fried Chicken Joint,Mexican Restaurant,Thai Restaurant,Big Box Store
24,Crescent Park,28.46019000000007,-81.33586999999994,2,Park,ATM,Salad Place,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
25,Delaney Park,28.52579000000003,-81.36979999999994,1,Baseball Field,Camera Store,Park,Optical Shop,ATM,Pet Service,Performing Arts Venue,Pawn Shop,Paper / Office Supplies Store,Outdoor Sculpture
26,Dixie Belle,28.52258000000006,-81.31501999999995,1,Intersection,Department Store,Paper / Office Supplies Store,Grocery Store,Fast Food Restaurant,Pizza Place,Pawn Shop,Clothing Store,Home Service,Bank
27,Dover Estates,28.521120000000053,-81.32420999999994,1,Bistro,Pizza Place,Gym / Fitness Center,Optical Shop,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Office
28,Dover Manor,28.528350000000046,-81.32189999999997,1,Park,Gym,ATM,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant
29,Dover Shores East,28.53111000000007,-81.32748999999995,1,,,,,,,,,,
30,Dover Shores West,28.527570000000026,-81.33738999999997,1,Cosmetics Shop,Pizza Place,Spanish Restaurant,Fast Food Restaurant,Cuban Restaurant,Ice Cream Shop,Residential Building (Apartment / Condo),Pet Service,Nature Preserve,New American Restaurant
31,Eagles Nest,28.515760000000057,-81.45272999999997,0,Clothing Store,BBQ Joint,Park,Outdoor Sculpture,Pet Service,Performing Arts Venue,Pawn Shop,Paper / Office Supplies Store,ATM,Pharmacy
32,East Central Park,28.543710000000033,-81.34776999999997,1,Food Truck,Bar,Convenience Store,Vietnamese Restaurant,Boutique,Park,Sports Bar,Beer Garden,Pub,Mexican Restaurant
33,East Park,28.422470000000033,-81.23739999999998,2,Basketball Court,Park,ATM,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant
34,Education Village,28.36791500000004,-81.42701199999993,0,Latin American Restaurant,Bank,Sushi Restaurant,Sandwich Place,American Restaurant,Ice Cream Shop,Gym,Pharmacy,Clothing Store,Coffee Shop
35,Engelwood Park,28.531720000000064,-81.30208999999996,1,Athletics & Sports,Food,Park,Pet Store,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
36,Florida Center,28.463490000000036,-81.45626999999996,0,Theme Park Ride / Attraction,Brazilian Restaurant,Go Kart Track,Sporting Goods Shop,Resort,Fast Food Restaurant,Sushi Restaurant,Discount Store,Grocery Store,Motel
37,Florida Center North,28.49436000000003,-81.44556999999998,0,Gym / Fitness Center,Pool,Tennis Court,Lounge,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,North Indian Restaurant
38,Haralson Estates,28.548740000000066,-81.41619999999995,0,Gas Station,Convenience Store,Bakery,Intersection,Bus Station,Pizza Place,Home Service,Coffee Shop,Deli / Bodega,Fast Food Restaurant
39,Hibiscus,28.544820000000072,-81.31476999999995,1,Convenience Store,Latin American Restaurant,Cuban Restaurant,Baseball Field,South American Restaurant,Shoe Store,Paper / Office Supplies Store,Pet Service,Performing Arts Venue,Pawn Shop
40,Holden Heights,28.525580000000048,-81.39140999999995,0,Park,ATM,Salad Place,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
41,Holden/Parramore,28.537680000000023,-81.39154999999994,0,Soccer Stadium,BBQ Joint,Brewery,Pool,Arts & Crafts Store,Food Truck,Café,Bar,Gay Bar,Sausage Shop
42,Johnson Village,28.522820000000024,-81.42256999999995,0,Theater,Soccer Field,Pool,ATM,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Office,Performing Arts Venue
43,Kirkman North,28.51389000000006,-81.45795999999996,0,Sandwich Place,Pizza Place,Ice Cream Shop,Mobile Phone Shop,Brazilian Restaurant,Fast Food Restaurant,Cosmetics Shop,Smoothie Shop,Chinese Restaurant,Seafood Restaurant
44,Kirkman South,28.494230000000073,-81.46445999999997,0,Sandwich Place,Mexican Restaurant,Pharmacy,Pizza Place,Sushi Restaurant,Coffee Shop,Supplement Shop,Optical Shop,Sports Bar,Burger Joint
45,Lake Cherokee,28.533920000000023,-81.37243999999998,1,Park,Bed & Breakfast,Lawyer,Pool,ATM,Optical Shop,Pawn Shop,Paper / Office Supplies Store,Outdoor Sculpture,Office
46,Lake Como,28.53141000000005,-81.34995999999995,1,Playground,Lake,Park,Surf Spot,ATM,Pawn Shop,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Office
47,Lake Copeland,28.52596531754843,-81.37975507491242,1,Café,Pizza Place,Train Station,Sandwich Place,Pharmacy,Mexican Restaurant,Brewery,New American Restaurant,American Restaurant,Thai Restaurant
48,Lake Davis/Greenwood,28.53382000000005,-81.36299999999994,1,Park,Sandwich Place,Cemetery,ATM,Optical Shop,Performing Arts Venue,Pawn Shop,Paper / Office Supplies Store,Outdoor Sculpture,Office
